"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,$36 ,$0 ,$0 ,$36.25 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$18 ,$0 ,$0 ,$18.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,$147 ,$0 ,$0 ,$147.25 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Elem,179 - MANZANITA COMMUNITY SCHOOL,5825 - CONSULTANTS,"$102,518 ","$75,664 ","$26,854 ",$0.44 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,1105 - TEACHERS SALARIES,"$192,735 ","$154,188 ","$38,547 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,2105 - INSTRAIDES SALARIES,"$43,743 ","$35,563 ","$8,179 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3101 - STRS CERTIFICATED,"$20,874 ","$16,699 ","$4,175 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3201 - PERS CERTIFICATED,"$7,467 ","$5,973 ","$1,493 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3202 - PERS CLASSIFIED,"$6,794 ","$5,523 ","$1,270 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$2,981 ","$2,385 ",$596 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$2,712 ","$2,205 ",$507 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,"$2,795 ","$2,236 ",$559 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3322 - MEDICARE CLASSIFIED,$634 ,$516 ,$119 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3342 - PARS CLASSIFIED,$0 ,$37 ,$149 ,($186.36)
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3401 - HEALTH & WELFARE CERTIFICATED,"$28,178 ","$22,341 ","$5,837 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3402 - HEALTH & WELFARE CLASSIFIED,"$12,650 ","$9,852 ","$2,798 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$206 ,$165 ,$41 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3502 - ST UNEMPLOY INS CLASSIFIED,$47 ,$38 ,$9 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,"$11,564 ","$9,251 ","$2,313 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3602 - WORKERS COMP CLASSIFIED,"$2,624 ","$2,134 ",$491 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3901 - OTHER BENEFITS CERTIFICATED,$208 ,$170 ,$39 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Elem,179 - MANZANITA COMMUNITY SCHOOL,3902 - OTHER BENEFITS CLASSIFIED,"$2,479 ","$2,167 ",$312 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9028 - NATL COMMUNITY DEVELOP INSTITU,Elem,179 - MANZANITA COMMUNITY SCHOOL,2425 - CLERICAL SALARIES OVERTIME,"$3,640 ",$0 ,$0 ,"$3,640.47 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,1105 - TEACHERS SALARIES,"$819,536 ","$696,605 ","$172,082 ","($49,151.33)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,1122 - TEACHERS SALARIES EXTRA COMP,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,1150 - TEACHERS SUBSTITUTES,"$37,640 ","$19,508 ",$836 ,"$17,296.57 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,"1305 - SUPV, ADMIN, INSTR COACHES SAL","$114,533 ","$95,444 ","$19,089 ",($0.38)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,2205 - CLASSSUPPT SALARIES,"$29,715 ","$24,565 ","$6,170 ","($1,020.32)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,2405 - CLERICAL SALARIES,"$56,632 ","$38,967 ","$11,712 ","$5,953.91 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,2425 - CLERICAL SALARIES OVERTIME,"$4,363 ","$3,677 ",$0 ,$685.91 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,2450 - CLERICAL SUBSTITUTES,"$2,000 ","$1,509 ",$0 ,$491.14 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,2905 - OTHERCLASS SALARIES,"$20,372 ","$14,647 ","$3,885 ","$1,840.46 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,2950 - OTHERCLASS SUBSTITUTES,"$2,000 ",$508 ,$0 ,"$1,492.09 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3101 - STRS CERTIFICATED,"$143,570 ","$107,029 ","$27,586 ","$8,954.11 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3201 - PERS CERTIFICATED,$0 ,$69 ,$0 ,($68.55)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3202 - PERS CLASSIFIED,"$15,302 ","$11,161 ","$3,105 ","$1,035.82 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$4,477 ",$74 ,$0 ,"$4,402.25 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$6,210 ","$4,759 ","$1,240 ",$211.01 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,"$14,050 ","$10,873 ","$2,555 ",$622.47 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3322 - MEDICARE CLASSIFIED,"$1,576 ","$1,216 ",$316 ,$44.66 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3342 - PARS CLASSIFIED,$321 ,$195 ,$146 ,($19.55)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3401 - HEALTH & WELFARE CERTIFICATED,"$135,835 ","$94,131 ","$23,956 ","$17,747.98 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3402 - HEALTH & WELFARE CLASSIFIED,"$37,961 ","$22,349 ","$5,599 ","$10,012.81 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$861 ,$867 ,$205 ,($210.78)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3502 - ST UNEMPLOY INS CLASSIFIED,$116 ,$89 ,$23 ,$3.65 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,"$60,632 ","$45,103 ","$11,470 ","$4,058.96 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3602 - WORKERS COMP CLASSIFIED,"$6,795 ","$4,994 ","$1,306 ",$495.46 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3901 - OTHER BENEFITS CERTIFICATED,$704 ,"$1,351 ",$194 ,($840.75)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,3902 - OTHER BENEFITS CLASSIFIED,"$3,107 ","$1,843 ",$469 ,$794.88 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,4310 - SUPPLIES,"$7,117 ","$4,533 ","$2,584 ",$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,"4425 - DUPLICATING EQUIP < $5,000",$364 ,$364 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5515 - DISPOSAL SERVICES,"$11,483 ","$10,651 ",$0 ,$832.14 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5517 - Recycling,"$1,032 ","$1,983 ",$0 ,($950.80)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5520 - GAS-HEATING-ELECTRICITY,"$28,918 ","$22,594 ",$0 ,"$6,324.15 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5555 - WATER/SEWAGE,"$5,786 ","$5,551 ",$0 ,$235.01 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5610 - EQUIP MAINTENANCE AGREEMT,"$2,800 ","$1,850 ",$950 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5716 - INTERPGM - DUPLICATION SERVICE,$250 ,$250 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5721 - INTERPROGRAM - CUSTODIAL,"$109,341 ","$109,341 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5746 - Budget Partner,"$10,261 ","$10,261 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5747 - Human Resources Partner,"$22,606 ","$22,606 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5755 - INTPRGM-CNTRL SCHL IMPRV PARTN,"$10,814 ","$10,814 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5825 - CONSULTANTS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5826 - EXTERNAL WORK ORDER SERVICES,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Elem,179 - MANZANITA COMMUNITY SCHOOL,5846 - LICENSING AGREEMENTS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,1105 - TEACHERS SALARIES,"$90,159 ","$68,514 ","$17,094 ","$4,550.60 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,1205 - PUPILSUPPT SALARIES,"$27,689 ","$22,227 ","$5,557 ",($95.15)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,2205 - CLASSSUPPT SALARIES,"$23,492 ","$8,697 ","$3,903 ","$10,892.25 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,2905 - OTHERCLASS SALARIES,$0 ,$540 ,$0 ,($539.87)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3101 - STRS CERTIFICATED,"$16,607 ","$13,094 ","$3,268 ",$245.30 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3202 - PERS CLASSIFIED,"$3,855 ","$1,201 ",$606 ,"$2,047.59 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$1,721 ",$559 ,$242 ,$919.66 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,"$1,724 ","$1,316 ",$328 ,$79.63 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3322 - MEDICARE CLASSIFIED,$464 ,$134 ,$57 ,$273.13 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3342 - PARS CLASSIFIED,$158 ,$0 ,$0 ,$158.10 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3401 - HEALTH & WELFARE CERTIFICATED,"$44,936 ","$39,499 ","$8,526 ","($3,089.31)"
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3402 - HEALTH & WELFARE CLASSIFIED,"$13,224 ",$689 ,"$1,323 ","$11,211.82 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$127 ,$97 ,$24 ,$5.29 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3502 - ST UNEMPLOY INS CLASSIFIED,$34 ,$10 ,$4 ,$20.23 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,"$7,479 ","$5,444 ","$1,359 ",$676.05 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3602 - WORKERS COMP CLASSIFIED,"$1,998 ",$464 ,$234 ,"$1,300.15 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3901 - OTHER BENEFITS CERTIFICATED,$80 ,$135 ,$19 ,($73.47)
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3902 - OTHER BENEFITS CLASSIFIED,"$1,958 ",$11 ,$12 ,"$1,935.10 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,4200 - BOOKS-OTHER THAN TEXTBOOKS,$150 ,$140 ,$0 ,$10.25 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,4310 - SUPPLIES,"$1,428 ","$1,396 ",$32 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,5622 - RENTALS - EQUIPMENT,"$6,000 ","$6,000 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,5825 - CONSULTANTS,"$5,118 ",$0 ,$0 ,"$5,117.87 "
01 - GENERAL FUND,UNRESTRICTED,0002 - UNREST SUPPLEMENTAL SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,5846 - LICENSING AGREEMENTS,"$12,492 ","$12,491 ",$0 ,$1.06 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,1105 - TEACHERS SALARIES,"$8,180 ","$6,544 ","$1,636 ",($0.04)
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3101 - STRS CERTIFICATED,"$1,180 ",$944 ,$236 ,($0.02)
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,$119 ,$95 ,$24 ,$0.01 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3401 - HEALTH & WELFARE CERTIFICATED,"$2,123 ","$1,702 ",$398 ,$22.59 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$9 ,$7 ,$2 ,$0.09 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,$491 ,$393 ,$98 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,3901 - OTHER BENEFITS CERTIFICATED,$1 ,$1 ,$0 ,$0.26 
01 - GENERAL FUND,UNRESTRICTED,0003 - UNREST CONCENTRATION SUPPORT,Elem,179 - MANZANITA COMMUNITY SCHOOL,5825 - CONSULTANTS,"$6,994 ","$6,000 ",$0 ,$994.05 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,1105 - TEACHERS SALARIES,"$146,129 ","$98,680 ","$24,629 ","$22,820.66 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,3101 - STRS CERTIFICATED,"$17,899 ","$14,239 ","$3,554 ",$105.29 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,"$2,072 ","$1,431 ",$357 ,$283.62 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,3401 - HEALTH & WELFARE CERTIFICATED,"$38,341 ","$23,681 ","$5,929 ","$8,731.62 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$280 ,$105 ,$26 ,$148.71 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,"$8,878 ","$5,921 ","$1,478 ","$1,479.16 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,3901 - OTHER BENEFITS CERTIFICATED,$102 ,$126 ,$29 ,($53.02)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,4399 - SURPLUS,"$10,698 ",$0 ,$0 ,"$10,697.65 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Elem,179 - MANZANITA COMMUNITY SCHOOL,5825 - CONSULTANTS,"$15,000 ","$15,000 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,1105 - TEACHERS SALARIES,"$40,300 ","$32,487 ","$8,122 ",($307.92)
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,3101 - STRS CERTIFICATED,"$5,815 ","$4,688 ","$1,172 ",($44.44)
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,3321 - MEDICARE CERTIFICATED,$584 ,$471 ,$118 ,($4.47)
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,3401 - HEALTH & WELFARE CERTIFICATED,"$8,471 ","$6,571 ","$1,646 ",$254.86 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,3501 - ST UNEMPLOY INS CERTIFICATED,$43 ,$35 ,$9 ,($0.29)
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,3601 - WORKERS COMP CERTIFICATED,"$2,519 ","$1,949 ",$487 ,$82.28 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,3901 - OTHER BENEFITS CERTIFICATED,$21 ,$32 ,$7 ,($18.49)
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Elem,179 - MANZANITA COMMUNITY SCHOOL,4399 - SURPLUS,$345 ,$0 ,$0 ,$345.31 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,1105 - TEACHERS SALARIES,"$27,822 ","$22,140 ","$5,682 ",$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,1120 - TEACHERS SALARIES STIPENDS,"$23,800 ",$0 ,$0 ,"$23,799.54 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,1122 - TEACHERS SALARIES EXTRA COMP,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,2922 - OTHERCLASS SALARIES EXTRACOMP,"$1,870 ",$487 ,$0 ,"$1,383.04 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,3101 - STRS CERTIFICATED,"$4,015 ","$3,195 ",$820 ,$0.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED","$2,701 ","$1,373 ",$0 ,"$1,328.32 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$278 ,$30 ,$0 ,$247.59 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Elem,178 - BRIDGES ACADEMY @ MELROSE,3321 - MEDICARE CERTIFICATED,$578 ,$321 ,$82 ,$174.68 
